Rk,Player,Tm,Season PPG,Last 5 PPG,Last 10 PPG,Opp DR,Season MP,Projected MP Today,Today's Points,,,,,,,,,,,,,,,,,,,
20,Deni Avdija,WAS,8.4,11.8,13,113.1,24.2,29.2,12,,,,,,,,,,,,,,,,,,,
293,Derrick Jones Jr.,CHI,5.6,6.8,6,111,17.6,22.6,12,,,,,,,,,,,,,,,,,,,
578,Derrick White,BOS,13.2,13.4,13.4,108.9,29.3,29.3,8,,,,,,,,,,,,,,,,,,,
555,Devin Vassell,SAS,12.3,15.3,15.9,109.1,27.3,27.3,15,,,,,,,,,,,,,,,,,,,
140,Donte DiVincenzo,SAC,9,13.2,12.6,106.8,24,24,19,,,,,,,,,,,,,,,,,,,
168,Dorian Finney-Smith,DAL,11,12.6,12.8,111.7,33.1,33.1,16,,,,,,,,,,,,,,,,,,,
204,Draymond Green,GSW,7.5,9,8,112,28.9,28.9,7,,,,,,,,,,,,,,,,,,,
568,Duane Washington Jr.,IND,9.9,13.2,10.8,112.3,20.2,20.2,18,,,,,,,,,,,,,,,,,,,
476,Duncan Robinson,MIA,10.9,9.2,8.5,112.1,25.9,26.5,9,,,,,,,,,,,,,,,,,,,
457,Dwight Powell,DAL,8.7,13.8,12.8,111.7,21.9,21.9,12,,,,,,,,,,,,,,,,,,,
440,Elfrid Payton,PHO,3,4,3,114.8,11,8.6,2,,,,,,,,,,,,,,,,,,,
257,Elijah Hughes,UTA,3.5,4.8,4.3,116.3,12.1,12.1,4,,,,,,,,,,,,,,,,,,,
437,Eric Paschall,UTA,5.8,5,6.3,116.3,12.7,17,7,,,,,,,,,,,,,,,,,,,
174,Evan Fournier,NYK,14.1,10.4,11.7,109.9,29.5,29.5,6,,,,,,,,,,,,,,,,,,,
384,Evan Mobley,CLE,15,17.5,12.2,111.1,33.8,32.5,18,,,,,,,,,,,,,,,,,,,
90,Facundo Campazzo,DEN,5.1,1.5,1.5,112.8,18.2,25.6,3,,,,,,,,,,,,,,,,,,,
268,Frank Jackson,DET,10.6,13.4,9.9,110.2,22,22,10,,,,,,,,,,,,,,,,,,,
314,Furkan Korkmaz,PHI,7.6,2.3,2.3,113.3,21.1,24.1,9,,,,,,,,,,,,,,,,,,,
556,Gabe Vincent,MIA,8.7,8,6.2,112.1,23.4,30.6,6,,,,,,,,,,,,,,,,,,,
528,Garrett Temple,NOP,5.2,3,3,106.6,18.6,25.6,6,,,,,,,,,,,,,,,,,,,
355,Garrison Mathews,HOU,10,11.2,7.5,113.7,26.3,26.3,14,,,,,,,,,,,,,,,,,,,
441,Gary Payton II,GSW,7.1,7.2,7.8,112,17.6,17.6,8,,,,,,,,,,,,,,,,,,,
547,Gary Trent Jr.,TOR,18.3,21.2,20.5,110.2,35,36,17,,,,,,,,,,,,,,,,,,,
302,Georgios Kalaitzakis,OKC,6.6,17.5,17.5,109.5,16.5,16.5,17,,,,,,,,,,,,,,,,,,,
585,Grant Williams,BOS,7.8,8.2,9.3,108.9,24.4,24.4,9,,,,,,,,,,,,,,,,,,,
75,Greg Brown III,POR,4.7,8.2,8.3,110,13.3,13.3,3,,,,,,,,,,,,,,,,,,,
386,Greg Monroe,MIN,5.4,6.5,5.3,113.2,13.9,13.9,9,,,,,,,,,,,,,,,,,,,
31,Harrison Barnes,SAC,16.4,12,14.1,106.8,33.6,33.6,2,,,,,,,,,,,,,,,,,,,
579,Hassan Whiteside,UTA,8.2,9.8,9,116.3,17.9,17.9,7,,,,,,,,,,,,,,,,,,,
65,Ignas Brazdeikis,ORL,5,14.6,12.4,108.4,12.8,31.1,15,,,,,,,,,,,,,,,,,,,
465,Immanuel Quickley,NYK,11.3,20,17.5,109.9,23.1,24.6,34,,,,,,,,,,,,,,,,,,,
423,Isaac Okoro,CLE,8.8,6.2,6.2,111.1,29.6,29.6,4,,,,,,,,,,,,,,,,,,,
227,Isaiah Hartenstein,LAC,8.3,11.6,11,111.7,17.9,17.9,12,,,,,,,,,,,,,,,,,,,
269,Isaiah Jackson,IND,8.3,12.8,11,112.3,15,15,7,,,,,,,,,,,,,,,,,,,
278,Isaiah Joe,PHI,3.6,6.5,4.8,113.3,11.1,12.3,8,,,,,,,,,,,,,,,,,,,
334,Isaiah Livers,DET,6.4,9.8,9.7,110.2,20.2,24.1,14,,,,,,,,,,,,,,,,,,,
480,Isaiah Roby,OKC,10.1,15.4,17,109.5,21.1,21.1,16,,,,,,,,,,,,,,,,,,,
520,Isaiah Stewart,DET,8.3,8.2,8.6,110.2,25.6,25.6,10,,,,,,,,,,,,,,,,,,,
535,Isaiah Thomas,CHA,8.4,7.4,7.2,113.6,15.1,15.1,14,,,,,,,,,,,,,,,,,,,
511,Ish Smith,WAS,6.3,10.2,8.8,113.1,17.3,17.3,8,,,,,,,,,,,,,,,,,,,
605,Ivica Zubac,LAC,10.3,13.4,10.8,111.7,24.4,24.4,12,,,,,,,,,,,,,,,,,,,
364,Jaden McDaniels,MIN,9.2,6,6,113.2,25.8,25.8,8,,,,,,,,,,,,,,,,,,,
525,Jae'Sean Tate,HOU,11.8,9.4,10.2,113.7,26.4,26.4,5,,,,,,,,,,,,,,,,,,,
447,Jakob Poeltl,SAS,13.5,13.7,13.5,109.1,29,29,12,,,,,,,,,,,,,,,,,,,
80,Jalen Brunson,DAL,16.3,17.4,17.8,111.7,31.9,31.9,18,,,,,,,,,,,,,,,,,,,
205,Jalen Green,HOU,17.3,28.6,26.1,113.7,31.9,31.9,41,,,,,,,,,,,,,,,,,,,
365,Jalen McDaniels,CHA,6.2,10.2,6.7,113.6,16.3,16.3,14,,,,,,,,,,,,,,,,,,,
444,Jamorko Pickett,DET,3.8,9.7,8,110.2,13.5,13.5,6,,,,,,,,,,,,,,,,,,,
206,JaMychal Green,DEN,6.4,6.2,4.5,112.8,16.2,15.5,11,,,,,,,,,,,,,,,,,,,
367,JaVale McGee,PHO,9.2,8,6.6,114.8,15.8,20.6,11,,,,,,,,,,,,,,,,,,,
207,Javonte Green,CHI,7.2,7.2,6.2,111,23.4,29.9,8,,,,,,,,,,,,,,,,,,,
508,Javonte Smart,MIA,3,10,10,112.1,11.8,11.8,20,,,,,,,,,,,,,,,,,,,
230,Jaxson Hayes,NOP,9.3,12.8,10.7,106.6,20,20.3,5,,,,,,,,,,,,,,,,,,,
76,Jaylen Brown,BOS,23.6,25.8,26.6,108.9,33.6,33.6,18,,,,,,,,,,,,,,,,,,,
413,Jaylen Nowell,MIN,8.5,11.8,9.8,113.2,15.7,15.7,15,,,,,,,,,,,,,,,,,,,
526,Jayson Tatum,BOS,26.9,25,27.4,108.9,35.9,35.9,31,,,,,,,,,,,,,,,,,,,
208,Jeff Green,DEN,10.3,9.7,10.6,112.8,24.7,22.9,16,,,,,,,,,,,,,,,,,,,
321,Jeremy Lamb,SAC,7.3,7,7.2,106.8,16.7,16.7,5,,,,,,,,,,,,,,,,,,,
506,Jericho Sims,NYK,2.2,5.6,4.6,109.9,13.5,25.8,6,,,,,,,,,,,,,,,,,,,
95,Jevon Carter,MIL,4.2,1.5,5.1,108.9,13.7,13.7,3,,,,,,,,,,,,,,,,,,,
322,Jock Landale,SAS,4.9,3.3,4.4,109.1,10.9,10.9,2,,,,,,,,,,,,,,,,,,,
313,John Konchar,MEM,4.8,7.8,6.7,106.2,17.9,30.2,17,,,,,,,,,,,,,,,,,,,
318,Jonathan Kuminga,GSW,9.3,11.8,10.4,112,16.9,16.9,18,,,,,,,,,,,,,,,,,,,
107,Jordan Clarkson,UTA,16,14.4,15.1,116.3,27.1,30.4,9,,,,,,,,,,,,,,,,,,,
372,Jordan McLaughlin,MIN,3.8,6.6,6.6,113.2,14.5,14.5,2,,,,,,,,,,,,,,,,,,,
417,Jordan Nwora,MIL,7.9,9,9.8,108.9,19.1,19.1,24,,,,,,,,,,,,,,,,,,,
450,Jordan Poole,GSW,18.5,22.4,25.5,112,30,30,22,,,,,,,,,,,,,,,,,,,
9,Jose Alvarado,NOP,6.1,7,8.5,106.6,15.4,18.8,12,,,,,,,,,,,,,,,,,,,
104,Josh Christopher,HOU,7.9,13,12.2,113.7,18,18,6,,,,,,,,,,,,,,,,,,,
209,Josh Green,DAL,4.8,5.4,5,111.7,15.5,15.5,7,,,,,,,,,,,,,,,,,,,
271,Josh Jackson,SAC,6.4,8.6,8,106.8,16.3,16.3,12,,,,,,,,,,,,,,,,,,,
421,Josh Okogie,MIN,2.7,8,4.3,113.2,10.5,10.5,13,,,,,,,,,,,,,,,,,,,
474,Josh Richardson,SAS,10.2,13,13.4,109.1,24.6,24.6,18,,,,,,,,,,,,,,,,,,,
